song,artist,chords,date added,genre,lyrics,notes,times requested
I Never,"Lewis, Jenny ","A   Bm   C#m   Bm
I'm only a woman... of flesh and bone
And I wept much We all do
I thought I might die alone
A   Bm   C#m   D  E   
But I had never (x11) 
met you
So baby be good to me
A   Bm   C#m   Bm
I've got nothing to give you, you see
except everything, everything, everything, everything All the good And the bad
Cause I've been bad I've lied, cheated, stolen, 
and been ungrateful for what I had
And I'm afraid habits rule my waking life
I'm scared and I'm running in my sleep... for you
But all of the oceans and rivers and showers  will wash it all away 
And make me clean for you
A   Bm   C#m   D  E   
Cause I had never(x15) 
met you
A   Bm   C#m   Bm
bridge:
D   Dm   A  E/Ab  F#m  
So let's take a loan out Put it down on a house
In a place we've never lived
in a place that exists In the pages of scripts and
the songs that they sing
D   Dm   E    E   E
And all the beautiful things
That make you weep but
Don't have to make you weak
[break]
Cause I...
A   Bm   C#m   Bm
A   Bm   C#m   D  E   A(end)
never(x27) 
loved somebody the way I loved you.
(song has long gtr solo after the break, but we can skip that)",,indie rock,"I'm only a woman... of flesh and bone
And I wept much We all do
I thought I might die alone
But I had never (x11)   met you
So baby be good to me
I've got nothing to give you, you see
except everything, everything, everything, everything
All the good And the bad
Cause I've been bad
I've lied, cheated, stolen, 
and been ungrateful for what I had
And I'm afraid habits rule my waking life
I'm scared and I'm running in my sleep... for you
But all of the oceans and rivers and showers 
will wash it all away
And make me clean for you
Cause I had never(x15)   met you
So let's take a loan out
Put it down on a house
In a place we've never lived
in a place that exists
In the pages of scripts and
the songs that they sing
And all the beautiful things
That make you weep but
Don't have to make you weak
[music stops] 
Cause I...
never(x27) 
loved somebody the way I loved you.",,
"Good That Won’t Come Out, The ",Rilo Kiley,"G  ---------4---4-
D  -0-2-2----2---------5----5-5-5-5-5-5-5-5
A  -----------------2-2-----2---3-3-3-3-3-3-3
E  ---------
chorus:   G  C  Cm  G  F#m  C
verse.
chorus.
bridge: C D E D C
gtr solo
G  ---------
D  ----------------------4-4-4-4-4-4-4-4-7-7-7-7-4-4-4-4-2-2-2-2-2-2-2-2
A  -5-5-5-5-5-5-5-5-5-5-5-5-5-5-5-5-7-7-7-7-5-5-5-5-3-3-3-3-3-3-3-3
E  -3-3-3-3-3-3-3-3
G  -4--------5--4--
D  -2-2-2-2-------5---2-2-2-2-2-2-2
A  -----------2--2-2---3-3-3-3-3-3-3
E  ---------
chorus",,indie rock,"Let's get together and talk about the modern age.
All of our friends were gathered there with their pets
just talking shit about how we're all so upset about the disappearing ground.
As we watch it melt....
It's all of the good that won't come out of us
and how eventually our hands will just turn to dust,
if we keep shaking them.
Standing here on this frozen lake.
I do this thing where I think I'm real sick
but I won't go to the doctor to find out about it
Cause they make you stay real still in a real small space
As they chart up your insides and put them on display.
They'd see all of it, all of me, all of it.
All the good that won't come out of me
and all the stupid lies I hide behind.
It's such a big mistake
lying here in your warm embrace.
Oh, you're almost home.
I've been waiting for you to come in.
Dancing around in your old suits going crazy in your room again.
I think I'll go out an embarrass myself by getting drunk and falling down in
the street.
You say I choose sadness
that it never once has chosen me.
Maybe you're right...
[gtr solo]
Let's talk about all of our friends who lost the war
And all of the novels that had yet to be written about them.
It's all the good that won't come out of them
and all the stupid lies they hide behind.
It's such a big mistake
Standing here on this frozen lake.
It's all of the good that won't come out of me
And how eventually my mouth will just turn to dust
If I don't tell you quick.
Standing here on this frozen lake.",,1
Bought and Sold,Neko Case,"first chord: E
verse:
B  E  B  G#m F#E
B  E  B  G#m
chorus:
E   B  G#m  C#m  E
verse:
B  E  B  G#m G#m
solo:
E   B  G#m  C#m  E
chorus:
E   B  G#m  C#m  E
ending:
G#m  F#  E",,indie country folk,"""Bought And Sold""
Lost love
You're the one that lies in my arms
You're the one that stole all my charms
I let you in
Misery
You took everything young from me
Burned it down right in front of me
My blood runs cold
Nobody said that love was gonna be kind
But they did say that it was immeasurable as it was divine
Lost love
You're the one that lies in my arms
You're the one that stole all my charms
I'm bought and sold
[gtr solo]
Nobody said that love was gonna be kind
But they did say it was pleasurable as it was divine
Wish I could leave it behind
Lost love",,3
Always,Rilo Kiley,"Buildup: C
C  CMaj7  C7   F  Fm   
C   G   C   G
another verse
cho: F G  C  C7  F  G
verse
last choruses (halftime):
F G  C  C7  
F G  C  C7 
F.... G....C  C/B  Am
F  Fm...  C",,indie rock,"I should have known with a boy like you
Your middle name is always
I'd always love you
Ahhh, yeah
You let the needle drop
I think that you could do so much better
Those conventions are taking their toll on you
A phantom is disguised
It's horrifying
Right before your eyes
Phantom is inside
I should have known with a boy like you
Your middle name is always
I'd always want you
Ahhh, yeah
A phantom is disguised
It's horrifying
Right before your eyes
The phantom is inside
It's hideous
Right before your eyes
The phantom is watching you
The phantom is watching you, you",,
Spit on a Stranger,Pavement,"X X 0 2 3 X
X 4 0 0 3 X
2 0 0 0 3 X
0          3
2          3
X X 0 2 3 X
X 4 0 0 3 X
2 0 0 0 3 X
X 2         3
X 0         3
X X 0 2 3 X
X 3 0 0 3 X
2 0 0 0 3 X
0          3
2          3
X X 0 2 3 X
X 3 0 2 3 X
X 2 0 2 3 X
A A A A A A A A A A A A A A A A A
(SONG STARTS, then on whatever you need, band kicks in)
D  D/C#  D/F#  G A 
D  D/C#  D/F#  B A 
D  C  G A 
D  C  G A 
Honey I been thinkin long: Bm  Bm/A  E/G#   G  GG  D
D Em G (pull me out) x2
verse again, band kicks in middle
D Em G (pull me out) x4
see the sun in your eyes:  
X X X 2 3 2/0   (D)
X X X 1 3 2/0   (D b5)
X X X 0 3 2/0   (D 4 +10)
D  Em  G.... D.",,indie rock,"However you feel, whatever it takes,
whenever it's real, whatever awaits,
whatever you need, however so slight,
whenever it's real, whenever it's right.
I've been thinking long and hard about the things 
you said to me,
like a bitter stranger,
and now I see the long, the short, the middle 
and what's in between,
I could spit on a stranger, (pull me out)
you're a bitter stranger. (pull me out)
Whatever you feel, whatever it takes,
whenever it's real, whatever awaits me,
whatever you need, however so slight,
Wherever it leads, whenever it's right
Honey I'm a prize and you're a catch
and we're a perfect match,
like two bitter strangers,
and now I see the long,
the short of it and I can make it last,
I could spit on a stranger,(pull me out)
you're a bitter stranger, (pull me out)
I could spit on a stranger, (pull me out)
you're a bitter stranger. (pull me out)
I could spit on a stranger, (pull me out)
you're a bitter stranger.
I see the sunshine in your eyes,
I'll try the things you'll never try,
I'll be the one that leaves
you high...high...high",,2
Skinny Love,Bon Iver,"hi notes of Am chord ring out for most chords, everything else is just changing bass notes
intro:
Am  C  C/G  C/G 
Am  C  C/G  C/G 
X 2 0 2 1 0    Am   C C    C/G
verse:
Am  C  C/G  C/G 
Am  C  C/G  C/G 
Am  C  C      C
*Dm7* Am ... C   C riff
           riff:  -5-2-0------------------------
                  ---------3------------------
                  -------------3-----------------
chorus
Am7    Am7   Gsus   FMaj7    (just leave notes same on top two strings, change bass)
verse
chorus
F....
who will love you?  Am7    Am7   Gsus   FMaj7 
F....
ending:
Am C C/G  C/G  
Am C C/G  C/G  
X 2 0 2 1 0    Am   C C...(end)
",,,"Come on skinny love just last the year
Pour a little salt we were never here
My, my, my, my, my, my, my, my
Staring at the sink of blood and crushed veneer
I tell my love to wreck it all
Cut out all the ropes and let me fall
My, my, my, my, my, my, my, my
Right in the moment this order's tall
And I told you to be patient and I told you to be fine
And I told you to be balanced and I told you to be kind
And in the morning I'll be with you
but it will be a different kind
And I'll be holding all the tickets
And you'll be owning all the fines
Come on skinny love, what happened here?
Suckle on the hope in light brassieres
My, my, my, my, my, my, my, my
Sullen load is full, so slow on the split
And I told you to be patient and I told you to be fine
And I told you to be balanced and I told you to be kind
And now all your love is wasted
And then who the hell was I?
And I'm breaking at the britches
And at the end of all your lines
Who will love you?
Who will fight?
Who will fall far behind? ",,4
Fuck and Run,Liz Phair,"capo for most girls voices      (power chords)
D   A  F#  G
I woke up alarmed...
whatever happened to a boyfriend The kind of guy who tries to win you over - and 
whatever happened to a boyfriend The kind of guy who makes love 'cause he's in it and 
i want a boyfriend:  G  D  G D
D                   A           G  D           G  D
I want all that boring old shit like Letters and sodas Letters and sodas
D   A  F#  G
You got up out of bed...
I didn't think this would happen again No matter what I could do or say just that 
I didn't think this would happen again With or without my best intentions and 
i want a boyfriend:  G  D  G D
D                   A           G  D           (just once)
I want all that stupid old shit like  Letters and sodas
bridge:  E  A  E  G
And I can feel it in my bones
I'm gonna spend another year alone
D   A  F#  G
It's fuck and run, fuck and run Even when I was seventeen
Fuck and run, fuck and run Even when I was twelve
You almost felt bad You said that I should call you up but 
I knew much better than that  and almost immediately you felt sorry 'cause 
you didn't think this would happen again No matter what you could do or say just that 
you didn't think this would happen again Without or without your best intentions
bridge:  E  A  E  G
And I can feel it in my bones
I'm gonna spend another year alone
D   A  F#  G
It's fuck and run, fuck and run
Even when I was seventeen
Fuck and run, fuck and run
Even when I was twelve",,indie rock,"I woke up alarmed 
I didn't know where I was at first Just that 
I woke up in your arms 
And almost immediately I felt sorry 'cause 
I didn't think this would happen again 
No matter what I could do or say just that 
I didn't think this would happen again 
With or without my best intentions and 
whatever happened to a boyfriend 
The kind of guy who tries to win you over - and 
whatever happened to a boyfriend
The kind of guy who makes love 'cause he's in it and 
I want a boyfriend I want a boyfriend
I want all that boring old shit like 
Letters and sodas 
Letters and sodas
You got up out of bed 
You said you had a lot of work to do but 
I heard the rest in your head 
And almost immediately I felt sorry 'cause 
I didn't think this would happen again 
No matter what I could do or say just that 
I didn't think this would happen again 
With or without my best intentions and 
I want a boyfriend I want a boyfriend
I want all that stupid old shit like 
Letters and sodas
And I can feel it in my bones
I'm gonna spend another year alone
It's fuck and run, fuck and run
Even when I was seventeen
Fuck and run, fuck and run
Even when I was twelve
You almost felt bad 
You said that I should call you up but 
I knew much better than that 
and almost immediately you felt sorry 'cause 
you didn't think this would happen again
No matter what you could do or say just that 
you didn't think this would happen again
Without or without your best intentions
And I can feel it in my bones
I'm gonna spend another year alone
It's fuck and run, fuck and run
Even when I was seventeen
Fuck and run, fuck and run
Even when I was twelve",,8
Flower,Liz Phair,F F F F....,,indie rock,"[high part:]
Everytime I see your face I get all wet between my legs
Everytime you pass me by, I heave a sigh of pain
[low part:]
Everytime I see your face I think of things unpure, unchaste
I want to fuck you like a dog
I'll take you home and make you like it
Everything you ever wanted
Everything you ever thought of
Is everything I'll do to you
I'll fuck you and your minions, too
Your face reminds me of a flower
Kind of like you're underwater
Hair's too long and in your eyes
Your lips a perfect ""suck me"" size
You act like you're fourteen years old
Everything you say is so 
obnoxious, funny, true and mean
I want to be your blowjob queen
You're probably shy and introspective
That's not part of my objective
I just want your fresh, young jimmy
Turning, slamming, ramming in me
Everytime I see your face I think of things unpure, unchaste
I want to fuck you like a dog
I'll take you home and make you like it
Everything you ever wanted
Everything you ever thought of
everything I'll do to you
I'll fuck you till your dick is blue
[high part finishes]
Everytime...",,1
Cross Bones Style,Cat Power,"need drumbeat...
X X 4 4 0 0
X X 0 4 0 0
chorus: (OH COME CHILD)
X X 4 4 0 0
X X 0 4 0 0
X X 2 4 0 0
X 2 X 4 0 0
cuz you have seen some unbelievable:
X X 4 4 0 0
X X 0 4 0 0
X X 4 4 0 0
X X 0 4 0 0
end of chorus:
X X 4 4 0 0
X X 0 4 0 0
X X 2 4 0 0
X 2 X 4 0 0
in transitions, throw in:
X X 4 3 0 0 
",,indie rock,"Oh how time flies with crystal clear eyes
And cold as coal
When you're ending with diamond eyes
Oh come child
In a crossbones style
Oh come child
Come and rescue me
'Cause you have seen some
Unbelievable things
Hater I have your diamonds and still
'Cause you have seen some unbelievable things
Hater I have your diamonds
Oh come child
In a crossbones style
Oh come child
Come rescue me
'Cause you have seen some
Unbelievable things
Hater I have your diamonds and still... So still
Oh how time flies with crystal clear eyes
And cold as coal
When you're ending with diamond eyes
Oh come child
In a crossbones style
Oh come child
Come and rescue me
'Cause you have seen some
Unbelievable things",,
Colors and the Kids,Cat Power,"drop D tuning
A   -    D (0 0 4 2 3 2)",,indie rock,"It must be the colors And the kids That keep me alive
'Cause the music is boring me to death
It must just be the colors And the kids that keep me alive
'Cause I'd wanna go right away
To a January night
I built a shack with an old friend
He was someone I could learn from
Someone I could become
Will you meet me down
On a sandy beach
We can roll up our jeans
So the tide won't get us below the knees
Yellow hair You are a funny bear
Yellow hair You are such a funny bear
Slender fingers Would hold me 
slender limbs would hold me
And you could say my name
Like you knew my name
I could stay here Become someone different
I could stay here Become someone better
It's so hard to go in the city
'Cause you wanna say hello to everybody
It's so hard to go into the city
'Cause you wanna say hey I love you to everybody
When we were teenagers we wanted to be the sky
Now all we wanna do is go to red places
And try to stay outta hell
It must be the colors And the kids That keep me alive
'Cause the music is boring me to death
it must just be the colors
And it must just be the kids
That keep me alive on this January night.
Yellow hair You are a funny bear
Yellow hair You are such a funny bear",,2
Take Ecstacy With Me,"Magnetic Fields, The"," G       D      C      D
chorus:
G  D  Csus4  C
",,indie rock,"You used to slide down the carpeted stairs
or down the bannister
you stuttered like a kaleidoscope
'cause you knew too many words
you used to make ginger bread houses
we used to have taffy pulls
Take ecstasy with me, baby
take ecstasy with me.
You had a black snowmobile
we drove out under the northern lights
a vodka bottle gave you those raccoon eyes
we got beat up just for holding hands
Take ecstasy with me, baby
take ecstasy with me.
",,
I Don’t Want To Get Over You,"Magnetic Fields, The","intro:  C  G     C G    C G    C  D
                          C   G                                   C    G
I don't want to get over you. I guess I could take a sleeping pill 
          C         G                                D
and sleep at will and not have to go through  what I go through. 
                                      C          G
I guess I should take Prozac, right, 
               C            G                          D                         
and just smile all night at somebody new, 
                   Am     Bm          C             D
Somebody not too bright but sweet and kind 
who would try to get you off my mind. 
I could      leave this agony     behind 
               C              D       C          D
which is just what I'd do if I wanted to, 
                  D                C       G
but I don't want to get over you 
intro:  C  G ...    C G    C G    C  D
                                              C   G                                     C    G                         
cause I don't want to get over love.  I could listen to my therapist, 
                       C    G                                           D
pretend you don't exist and not have to dream of what I dream of; 
                         C            G                C       G
I could listen to all my friends and go out again 
            G               D
and pretend it's enough,
                   Am     Bm          C             D
or I could make a career of being blue--
I could dress in black and read Camus, 
smoke clove cigarettes and drink vermouth 
           C    D              C              D
like I was 17    that would be a scream 
                 D                 C     G
but I don't want to get over you.
intro:  C  G     C G    C G    C  D
C  G.",,indie rock,"I don't want to get over you. 
I guess I could take a sleeping pill 
and sleep at will and not have to go through 
what I go through. 
I guess I should take Prozac, right, 
and just smile all night at somebody new,
Somebody not too bright but sweet and kind 
who would try to get you off my mind. 
I could leave this agony behind 
which is just what I'd do if I wanted to, 
but I don't want to get over you 
cause I don't want to get over love.
I could listen to my therapist, 
pretend you don't exist and not have to dream of 
what I dream of; 
I could listen to all my friends and go out again 
and pretend it's enough,
or I could make a career of being blue--
I could dress in black and read Camus, 
smoke clove cigarettes and drink vermouth 
like I was 17 
that would be a scream 
but I don't want to get over you.",,2
All My Little Words,"Magnetic Fields, The","G#    Fm   D#  C#     G#
chorus:  D#  C#   G#
transition:  G#  Fm 
instr verse  G#    Fm   D#  C#     G#
verse
",,indie rock,"You are a splendid butterfly
It is your wings that make you beautiful
And I could make you fly away
But I could never make you stay
You said you were in love with me
Both of us know that that's impossible
And I could make you rue the day
But I could never make you stay
Not for all the tea in China
Not if I could sing like a bird
Not for all North Carolina
Not for all my little words
Not if I could write for you
The sweetest song you ever heard
It doesn't matter what I'll do
Not for all my little words
[instr verse[]
Now that you've made me want to die
You tell me that you're unboyfriendable
And I could make you pay and pay
But I could never make you stay",,7
Come back from San Francisco,"Magnetic Fields, The","D 
G A G A  D
chorus:
G riff                   A riff
G ---------------------------
D -----------0-2-0--------------
A ------2-2---------4----0-------
E -3-3------------------------0---2--
OUTTRO: (when you betray me)
D
D Maj7 (X X 0 2 2 2)
X X 0 0 0 2
D
",,,"Come back from San Francisco.
It can't be all that pretty,
when all of New York City misses you.
Should pretty boys in discos 
distract you from your novel,
remember I'm awful in love with you.
You need me like the wind needs the trees to blow in. Like the moon needs poetry, you need me.
Come back from San Francisco and kiss me; I've quit smoking.
I miss doing the wild thing with you.
Will you stay? I don't think so,
but all I do is worry, pack bags, call cabs, and hurry home to me.
You need me like the wind needs the trees to blow in. Like the moon needs poetry, you need me.
[mm hmm verse]
You need me like the wind needs the trees to blow in. Like the moon needs poetry, you need me.
When you betray me, betray me with a kiss.
Damn you. I've never stayed up as late as this. ",,4
"Book of Love, The ","Magnetic Fields, The",G   C/G  D/F#  G,,indie rock,"The book of love is long and boring
No one can lift the damn thing
It's full of charts and facts and figures
And instructions for dancing but
I... I love it when you read to me and
You... You can read me anything
The book of love has music in it
In fact that's where music comes from
Some of it is just transcendental
Some of it is just really dumb but
I... I love it when you sing to me and
You... You can sing me anything
The book of love is long and boring
And written very long ago
It's full of flowers and heart-shaped boxes
And things we're all too young to know but
I... I love it when you give me things and
You... You ought to give me wedding rings
I... I love it when you give me things and
You... You ought to give me wedding rings",,5
